Entry	Entry name	Status	Protein names	Gene names	Organism	Date of creation	Date of last modification	Gene ontology (biological process)	Gene ID	Cross-reference (PDB)
P12956	XRCC6_HUMAN	reviewed	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)	XRCC6 G22P1	Homo sapiens (Human)	1990-01-01	2019-01-16	activation of innate immune response [GO:0002218]; brain development [GO:0007420]; cellular hyperosmotic salinity response [GO:0071475]; cellular response to gamma radiation [GO:0071480]; cellular response to X-ray [GO:0071481]; DNA ligation [GO:0006266]; DNA recombination [GO:0006310]; double-strand break repair via classical nonhomologous end joining [GO:0097680]; double-strand break repair via nonhomologous end joining [GO:0006303]; establishment of integrated proviral latency [GO:0075713]; innate immune response [GO:0045087]; negative regulation of transcription, DNA-templated [GO:0045892]; neutrophil degranulation [GO:0043312]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon production [GO:0032481]; protein heterotetramerization [GO:0051290]; regulation of smooth muscle cell proliferation [GO:0048660]; telomere maintenance [GO:0000723]	2547	1JJR
P14416	DRD2_HUMAN	reviewed	D(2) dopamine receptor (Dopamine D2 receptor)	DRD2	Homo sapiens (Human)	1990-01-01	2019-01-16	activation of protein kinase activity [GO:0032147]; adenohypophysis development [GO:0021984]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting dopamine receptor signaling pathway [GO:0007195]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; adult walking behavior [GO:0007628]; arachidonic acid secretion [GO:0050482]; associative learning [GO:0008306]; auditory behavior [GO:0031223]; autophagy [GO:0006914]; axonogenesis [GO:0007409]; behavioral response to cocaine [GO:0048148]; behavioral response to ethanol [GO:0048149]; branching morphogenesis of a nerve [GO:0048755]; cellular calcium ion homeostasis [GO:0006874]; cerebral cortex GABAergic interneuron migration [GO:0021853]; circadian regulation of gene expression [GO:0032922]; dopamine metabolic process [GO:0042417]; drinking behavior [GO:0042756]; excitatory postsynaptic potential [GO:0060079]; G protein-coupled receptor internalization [GO:0002031]; G protein-coupled receptor signaling pathway [GO:0007186]; grooming behavior [GO:0007625]; intracellular signal transduction [GO:0035556]; locomotory behavior [GO:0007626]; long-term memory [GO:0007616]; negative regulation of adenylate cyclase activity [GO:0007194]; negative regulation of blood pressure [GO:0045776]; negative regulation of cell death [GO:0060548]; negative regulation of cell migration [GO:0030336]; negative regulation of cell proliferation [GO:0008285]; negative regulation of circadian sleep/wake cycle, sleep [GO:0042321]; negative regulation of cytosolic calcium ion concentration [GO:0051481]; negative regulation of dopamine receptor signaling pathway [GO:0060160]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of innate immune response [GO:0045824]; negative regulation of insulin secretion [GO:0046676]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein secretion [GO:0050709]; negative regulation of synaptic transmission, glutamatergic [GO:0051967]; negative regulation of voltage-gated calcium channel activity [GO:1901386]; neurological system process involved in regulation of systemic arterial blood pressure [GO:0001976]; neuron-neuron synaptic transmission [GO:0007270]; orbitofrontal cortex development [GO:0021769]; peristalsis [GO:0030432]; phospholipase C-activating dopamine receptor signaling pathway [GO:0060158]; pigmentation [GO:0043473]; positive regulation of cytokinesis [GO:0032467]; positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway [GO:0051482]; positive regulation of dopamine uptake involved in synaptic transmission [GO:0051586]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glial cell-derived neurotrophic factor secretion [GO:1900168]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; positive regulation of growth hormone secretion [GO:0060124]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of receptor internalization [GO:0002092]; positive regulation of renal sodium excretion [GO:0035815]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of urine volume [GO:0035810]; postsynaptic modulation of chemical synaptic transmission [GO:0099170]; prepulse inhibition [GO:0060134]; protein localization [GO:0008104]; regulation of dopamine uptake involved in synaptic transmission [GO:0051584]; regulation of heart rate [GO:0002027]; regulation of locomotion involved in locomotory behavior [GO:0090325]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of phosphoprotein phosphatase activity [GO:0043666]; regulation of potassium ion transport [GO:0043266]; regulation of sodium ion transport [GO:0002028]; regulation of synapse structural plasticity [GO:0051823]; regulation of synaptic transmission, GABAergic [GO:0032228]; regulation of synaptic vesicle exocytosis [GO:2000300]; release of sequestered calcium ion into cytosol [GO:0051209]; response to amphetamine [GO:0001975]; response to axon injury [GO:0048678]; response to cocaine [GO:0042220]; response to drug [GO:0042493]; response to histamine [GO:0034776]; response to hypoxia [GO:0001666]; response to inactivity [GO:0014854]; response to iron ion [GO:0010039]; response to light stimulus [GO:0009416]; response to morphine [GO:0043278]; response to nicotine [GO:0035094]; sensory perception of smell [GO:0007608]; striatum development [GO:0021756]; synapse assembly [GO:0007416]; synaptic transmission, dopaminergic [GO:0001963]; temperature homeostasis [GO:0001659]; visual learning [GO:0008542]; Wnt signaling pathway [GO:0016055]	1813	5AER
P13667	PDIA4_HUMAN	reviewed	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	PDIA4 ERP70 ERP72	Homo sapiens (Human)	1990-01-01	2019-01-16	cell redox homeostasis [GO:0045454]; chaperone-mediated protein folding [GO:0061077]; protein folding [GO:0006457]; protein secretion [GO:0009306]; response to endoplasmic reticulum stress [GO:0034976]	9601	3IDV
P13995	MTDC_HUMAN	reviewed	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase (EC 1.5.1.15); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	MTHFD2 NMDMC	Homo sapiens (Human)	1990-01-01	2019-01-16	folic acid metabolic process [GO:0046655]; tetrahydrofolate interconversion [GO:0035999]; tetrahydrofolate metabolic process [GO:0046653]	10797	5TC4
P13716	HEM2_HUMAN	reviewed	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	ALAD	Homo sapiens (Human)	1990-01-01	2019-01-16	cellular response to interleukin-4 [GO:0071353]; cellular response to lead ion [GO:0071284]; heme biosynthetic process [GO:0006783]; negative regulation of proteasomal protein catabolic process [GO:1901799]; neutrophil degranulation [GO:0043312]; protein homooligomerization [GO:0051260]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to activity [GO:0014823]; response to aluminum ion [GO:0010044]; response to amino acid [GO:0043200]; response to arsenic-containing substance [GO:0046685]; response to cadmium ion [GO:0046686]; response to cobalt ion [GO:0032025]; response to ethanol [GO:0045471]; response to fatty acid [GO:0070542]; response to glucocorticoid [GO:0051384]; response to herbicide [GO:0009635]; response to hypoxia [GO:0001666]; response to ionizing radiation [GO:0010212]; response to iron ion [GO:0010039]; response to lipopolysaccharide [GO:0032496]; response to mercury ion [GO:0046689]; response to methylmercury [GO:0051597]; response to oxidative stress [GO:0006979]; response to platinum ion [GO:0070541]; response to selenium ion [GO:0010269]; response to vitamin B1 [GO:0010266]; response to vitamin E [GO:0033197]; response to zinc ion [GO:0010043]	210	1PV8
P14138	EDN3_HUMAN	reviewed	Endothelin-3 (ET-3) (Preproendothelin-3) (PPET3)	EDN3	Homo sapiens (Human)	1990-01-01	2019-01-16	blood circulation [GO:0008015]; cell-cell signaling [GO:0007267]; cell surface receptor signaling pathway [GO:0007166]; cellular calcium ion homeostasis [GO:0006874]; cellular magnesium ion homeostasis [GO:0010961]; G protein-coupled receptor signaling pathway [GO:0007186]; inositol phosphate-mediated signaling [GO:0048016]; melanocyte differentiation [GO:0030318]; multicellular organism development [GO:0007275]; neural crest cell migration [GO:0001755]; neuron differentiation [GO:0030182]; neutrophil chemotaxis [GO:0030593]; peptide hormone secretion [GO:0030072]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell proliferation [GO:0008284]; positive regulation of heart rate [GO:0010460]; positive regulation of hormone secretion [GO:0046887]; positive regulation of leukocyte chemotaxis [GO:0002690]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of potassium ion transmembrane transport [GO:1901381]; regulation of developmental pigmentation [GO:0048070]; regulation of gene expression [GO:0010468]; regulation of systemic arterial blood pressure by endothelin [GO:0003100]; regulation of vasoconstriction [GO:0019229]; signal transduction [GO:0007165]; vasoconstriction [GO:0042310]; vein smooth muscle contraction [GO:0014826]	1908	6IGK
P13612	ITA4_HUMAN	reviewed	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d)	ITGA4 CD49D	Homo sapiens (Human)	1990-01-01	2019-01-16	axonogenesis involved in innervation [GO:0060385]; B cell differentiation [GO:0030183]; cell-cell adhesion in response to extracellular stimulus [GO:0140039]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cell-matrix adhesion involved in ameboidal cell migration [GO:0003366]; cellular response to amyloid-beta [GO:1904646]; cellular response to cytokine stimulus [GO:0071345]; clathrin-dependent extracellular exosome endocytosis [GO:1990771]; diapedesis [GO:0050904]; endodermal cell differentiation [GO:0035987]; extracellular matrix organization [GO:0030198]; heterotypic cell-cell adhesion [GO:0034113]; integrin-mediated signaling pathway [GO:0007229]; leukocyte cell-cell adhesion [GO:0007159]; leukocyte migration [GO:0050900]; leukocyte tethering or rolling [GO:0050901]; negative regulation of protein homodimerization activity [GO:0090074]; neuron projection extension [GO:1990138]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of leukocyte tethering or rolling [GO:1903238]; positive regulation of T cell migration [GO:2000406]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; receptor clustering [GO:0043113]; regulation of immune response [GO:0050776]; substrate adhesion-dependent cell spreading [GO:0034446]	3676	4HKC
P13929	ENOB_HUMAN	reviewed	Beta-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 3) (Muscle-specific enolase) (MSE) (Skeletal muscle enolase)	ENO3	Homo sapiens (Human)	1990-01-01	2019-01-16	aging [GO:0007568]; canonical glycolysis [GO:0061621]; gluconeogenesis [GO:0006094]; response to drug [GO:0042493]; skeletal muscle tissue regeneration [GO:0043403]	2027	2XSX
P13686	PPA5_HUMAN	reviewed	Tartrate-resistant acid phosphatase type 5 (TR-AP) (EC 3.1.3.2) (Tartrate-resistant acid ATPase) (TrATPase) (Type 5 acid phosphatase)	ACP5	Homo sapiens (Human)	1990-01-01	2019-01-16	bone morphogenesis [GO:0060349]; bone resorption [GO:0045453]; defense response to Gram-positive bacterium [GO:0050830]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of superoxide anion generation [GO:0032929]; negative regulation of tumor necrosis factor production [GO:0032720]; ossification [GO:0001503]; response to cytokine [GO:0034097]; response to lipopolysaccharide [GO:0032496]; riboflavin metabolic process [GO:0006771]	54	2BQ8
P13797	PLST_HUMAN	reviewed	Plastin-3 (T-plastin)	PLS3	Homo sapiens (Human)	1990-01-01	2019-01-16	actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; bone development [GO:0060348]	5358	1WJO
P12883	MYH7_HUMAN	reviewed	Myosin-7 (Myosin heavy chain 7) (Myosin heavy chain slow isoform) (MyHC-slow) (Myosin heavy chain, cardiac muscle beta isoform) (MyHC-beta)	MYH7 MYHCB	Homo sapiens (Human)	1989-10-01	2019-01-16	adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; regulation of heart rate [GO:0002027]; regulation of slow-twitch skeletal muscle fiber contraction [GO:0031449]; regulation of the force of heart contraction [GO:0002026]; regulation of the force of skeletal muscle contraction [GO:0014728]; skeletal muscle contraction [GO:0003009]; striated muscle contraction [GO:0006941]; transition between fast and slow fiber [GO:0014883]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]	4625	5CJ1
P11912	CD79A_HUMAN	reviewed	B-cell antigen receptor complex-associated protein alpha chain (Ig-alpha) (MB-1 membrane glycoprotein) (Membrane-bound immunoglobulin-associated protein) (Surface IgM-associated protein) (CD antigen CD79a)	CD79A IGA MB1	Homo sapiens (Human)	1989-10-01	2019-01-16	adaptive immune response [GO:0002250]; B cell activation [GO:0042113]; B cell differentiation [GO:0030183]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; protein homotetramerization [GO:0051289]	973	1CV9
P12314	FCGR1_HUMAN	reviewed	High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (Fc-gamma RIA) (FcgammaRIa) (CD antigen CD64)	FCGR1A FCG1 FCGR1 IGFR1	Homo sapiens (Human)	1989-10-01	2019-01-16	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; immune response [GO:0006955]; interferon-gamma-mediated signaling pathway [GO:0060333]; phagocytosis, engulfment [GO:0006911]; receptor-mediated endocytosis [GO:0006898]; regulation of immune response [GO:0050776]; signal transduction [GO:0007165]	2209	4W4O
P11413	G6PD_HUMAN	reviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	G6PD	Homo sapiens (Human)	1989-10-01	2019-01-16	cellular response to oxidative stress [GO:0034599]; cholesterol biosynthetic process [GO:0006695]; erythrocyte maturation [GO:0043249]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glutathione metabolic process [GO:0006749]; lipid metabolic process [GO:0006629]; NADPH regeneration [GO:0006740]; NADP metabolic process [GO:0006739]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of protein glutathionylation [GO:0010734]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; oxidation-reduction process [GO:0055114]; pentose biosynthetic process [GO:0019322]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]; positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904879]; regulation of neuron apoptotic process [GO:0043523]; response to ethanol [GO:0045471]; response to food [GO:0032094]; response to iron(III) ion [GO:0010041]; response to organic cyclic compound [GO:0014070]; ribose phosphate biosynthetic process [GO:0046390]; substantia nigra development [GO:0021762]	2539	6E08
P11836	CD20_HUMAN	reviewed	B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Bp35) (Leukocyte surface antigen Leu-16) (Membrane-spanning 4-domains subfamily A member 1) (CD antigen CD20)	MS4A1 CD20	Homo sapiens (Human)	1989-10-01	2019-01-16	B cell proliferation [GO:0042100]; humoral immune response [GO:0006959]; response to bacterium [GO:0009617]	931	3PP4
P11597	CETP_HUMAN	reviewed	Cholesteryl ester transfer protein (Lipid transfer protein I)	CETP	Homo sapiens (Human)	1989-10-01	2019-01-16	cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; high-density lipoprotein particle remodeling [GO:0034375]; lipid homeostasis [GO:0055088]; lipid transport [GO:0006869]; low-density lipoprotein particle remodeling [GO:0034374]; negative regulation of macrophage derived foam cell differentiation [GO:0010745]; phosphatidylcholine metabolic process [GO:0046470]; phospholipid homeostasis [GO:0055091]; phospholipid transport [GO:0015914]; regulation of cholesterol efflux [GO:0010874]; reverse cholesterol transport [GO:0043691]; triglyceride homeostasis [GO:0070328]; triglyceride metabolic process [GO:0006641]; triglyceride transport [GO:0034197]; very-low-density lipoprotein particle remodeling [GO:0034372]	1071	2OBD
P11488	GNAT1_HUMAN	reviewed	Guanine nucleotide-binding protein G(t) subunit alpha-1 (Transducin alpha-1 chain)	GNAT1 GNATR	Homo sapiens (Human)	1989-10-01	2019-01-16	adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; cell proliferation [GO:0008283]; cellular response to electrical stimulus [GO:0071257]; detection of chemical stimulus involved in sensory perception of bitter taste [GO:0001580]; detection of light stimulus involved in visual perception [GO:0050908]; eye photoreceptor cell development [GO:0042462]; negative regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051344]; phototransduction, visible light [GO:0007603]; positive regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051343]; protein folding [GO:0006457]; regulation of rhodopsin mediated signaling pathway [GO:0022400]; response to light intensity [GO:0009642]; response to light stimulus [GO:0009416]; retina development in camera-type eye [GO:0060041]; rhodopsin mediated signaling pathway [GO:0016056]; sensory perception of umami taste [GO:0050917]; signal transduction [GO:0007165]; visual perception [GO:0007601]	2779	3RBQ
P11686	PSPC_HUMAN	reviewed	Pulmonary surfactant-associated protein C (SP-C) (Pulmonary surfactant-associated proteolipid SPL(Val)) (SP5)	SFTPC SFTP2	Homo sapiens (Human)	1989-10-01	2019-01-16	cellular protein metabolic process [GO:0044267]; respiratory gaseous exchange [GO:0007585]	6440	2YAD
P10643	CO7_HUMAN	reviewed	Complement component C7	C7	Homo sapiens (Human)	1989-07-01	2019-01-16	cellular sodium ion homeostasis [GO:0006883]; complement activation [GO:0006956]; complement activation, alternative pathway [GO:0006957]; complement activation, classical pathway [GO:0006958]; cytolysis [GO:0019835]; regulation of complement activation [GO:0030449]	730	2WCY
P09917	LOX5_HUMAN	reviewed	Arachidonate 5-lipoxygenase (5-LO) (5-lipoxygenase) (EC 1.13.11.34)	ALOX5 LOG5	Homo sapiens (Human)	1989-07-01	2019-01-16	cytokine-mediated signaling pathway [GO:0019221]; interleukin-18-mediated signaling pathway [GO:0035655]; leukotriene biosynthetic process [GO:0019370]; leukotriene metabolic process [GO:0006691]; leukotriene production involved in inflammatory response [GO:0002540]; lipoxygenase pathway [GO:0019372]; long-chain fatty acid biosynthetic process [GO:0042759]; neutrophil degranulation [GO:0043312]	240	3V98
P11245	ARY2_HUMAN	reviewed	Arylamine N-acetyltransferase 2 (EC 2.3.1.5) (Arylamide acetylase 2) (N-acetyltransferase type 2) (NAT-2) (Polymorphic arylamine N-acetyltransferase) (PNAT)	NAT2 AAC2	Homo sapiens (Human)	1989-07-01	2019-01-16	xenobiotic metabolic process [GO:0006805]	10	2PFR
P11169	GTR3_HUMAN	reviewed	Solute carrier family 2, facilitated glucose transporter member 3 (Glucose transporter type 3, brain) (GLUT-3)	SLC2A3 GLUT3	Homo sapiens (Human)	1989-07-01	2019-01-16	carbohydrate metabolic process [GO:0005975]; glucose transmembrane transport [GO:1904659]; L-ascorbic acid metabolic process [GO:0019852]; neutrophil degranulation [GO:0043312]	6515	4ZW9
P09525	ANXA4_HUMAN	reviewed	Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)	ANXA4 ANX4	Homo sapiens (Human)	1989-07-01	2019-01-16	epithelial cell differentiation [GO:0030855]; negative regulation of apoptotic process [GO:0043066]; negative regulation of interleukin-8 secretion [GO:2000483]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; Notch signaling pathway [GO:0007219]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]	307	2ZOC
P11310	ACADM_HUMAN	reviewed	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	ACADM	Homo sapiens (Human)	1989-07-01	2019-01-16	carnitine biosynthetic process [GO:0045329]; carnitine metabolic process, CoA-linked [GO:0019254]; fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; medium-chain fatty acid catabolic process [GO:0051793]; medium-chain fatty acid metabolic process [GO:0051791]; oxidation-reduction process [GO:0055114]; regulation of lipid metabolic process [GO:0019216]	34	4P13
P09326	CD48_HUMAN	reviewed	CD48 antigen (B-lymphocyte activation marker BLAST-1) (BCM1 surface antigen) (Leukocyte antigen MEM-102) (SLAM family member 2) (SLAMF2) (Signaling lymphocytic activation molecule 2) (TCT.1) (CD antigen CD48)	CD48 BCM1 BLAST1	Homo sapiens (Human)	1989-07-01	2019-01-16	defense response [GO:0006952]; leukocyte migration [GO:0050900]; regulation of adaptive immune response [GO:0002819]	962	2EDO
P09693	CD3G_HUMAN	reviewed	T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g)	CD3G T3G	Homo sapiens (Human)	1989-07-01	2019-01-16	adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166]; establishment or maintenance of cell polarity [GO:0007163]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; membrane organization [GO:0061024]; positive thymic T cell selection [GO:0045059]; protein-containing complex assembly [GO:0065003]; protein homooligomerization [GO:0051260]; protein transport [GO:0015031]; regulation of immune response [GO:0050776]; regulation of lymphocyte apoptotic process [GO:0070228]; T cell activation [GO:0042110]; T cell differentiation [GO:0030217]; T cell receptor signaling pathway [GO:0050852]	917	1SY6
P10720	PF4V_HUMAN	reviewed	Platelet factor 4 variant (C-X-C motif chemokine 4 variant) (CXCL4L1) (PF4alt) (PF4var1) [Cleaved into: Platelet factor 4 variant(4-74); Platelet factor 4 variant(5-74); Platelet factor 4 variant(6-74)]	PF4V1 CXCL4V1 SCYB4V1	Homo sapiens (Human)	1989-07-01	2019-01-16	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cellular response to lipopolysaccharide [GO:0071222]; chemokine-mediated signaling pathway [GO:0070098]; immune response [GO:0006955]; inflammatory response [GO:0006954]; leukocyte chemotaxis [GO:0030595]; neutrophil chemotaxis [GO:0030593]; platelet activation [GO:0030168]	5197	4HSV
P10301	RRAS_HUMAN	reviewed	Ras-related protein R-Ras (p23)	RRAS	Homo sapiens (Human)	1989-07-01	2019-01-16	face morphogenesis [GO:0060325]; leukocyte differentiation [GO:0002521]; negative regulation of cell migration [GO:0030336]; positive regulation of angiogenesis [GO:0045766]; Ras protein signal transduction [GO:0007265]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of protein kinase B signaling [GO:0051896]	6237	2FN4
P10768	ESTD_HUMAN	reviewed	S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase) (EC 3.1.1.56)	ESD	Homo sapiens (Human)	1989-07-01	2019-01-16	formaldehyde catabolic process [GO:0046294]; glutathione derivative biosynthetic process [GO:1901687]	2098	3FCX
P09488	GSTM1_HUMAN	reviewed	Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4)	GSTM1 GST1	Homo sapiens (Human)	1989-07-01	2019-01-16	cellular detoxification of nitrogen compound [GO:0070458]; glutathione derivative biosynthetic process [GO:1901687]; glutathione metabolic process [GO:0006749]; nitrobenzene metabolic process [GO:0018916]; xenobiotic catabolic process [GO:0042178]	2944	1XW6
P10144	GRAB_HUMAN	reviewed	Granzyme B (EC 3.4.21.79) (C11) (CTLA-1) (Cathepsin G-like 1) (CTSGL1) (Cytotoxic T-lymphocyte proteinase 2) (Lymphocyte protease) (Fragmentin-2) (Granzyme-2) (Human lymphocyte protein) (HLP) (SECT) (T-cell serine protease 1-3E)	GZMB CGL1 CSPB CTLA1 GRB	Homo sapiens (Human)	1989-07-01	2019-01-16	apoptotic process [GO:0006915]; cytolysis [GO:0019835]; granzyme-mediated apoptotic signaling pathway [GO:0008626]; natural killer cell mediated cytotoxicity [GO:0042267]; positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway [GO:1900740]	3002	1IAU
P10074	TZAP_HUMAN	reviewed	Telomere zinc finger-associated protein (TZAP) (Krueppel-related zinc finger protein 3) (hKR3) (Zinc finger and BTB domain-containing protein 48) (Zinc finger protein 855)	ZBTB48 HKR3 TZAP ZNF855	Homo sapiens (Human)	1989-07-01	2019-01-16	positive regulation of transcription, DNA-templated [GO:0045893]; telomere maintenance via telomere lengthening [GO:0010833]	3104	3B84
P09132	SRP19_HUMAN	reviewed	Signal recognition particle 19 kDa protein (SRP19)	SRP19	Homo sapiens (Human)	1989-07-01	2019-01-16	cotranslational protein targeting to membrane [GO:0006613]; response to drug [GO:0042493]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition [GO:0006617]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]	6728	1JID
P10589	COT1_HUMAN	reviewed	COUP transcription factor 1 (COUP-TF1) (COUP transcription factor I) (COUP-TF I) (Nuclear receptor subfamily 2 group F member 1) (V-erbA-related protein 3) (EAR-3)	NR2F1 EAR3 ERBAL3 TFCOUP1	Homo sapiens (Human)	1989-07-01	2019-01-16	negative regulation of neuron projection development [GO:0010977]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; signal transduction [GO:0007165]; transcription initiation from RNA polymerase II promoter [GO:0006367]	7025	2EBL
P10645	CMGA_HUMAN	reviewed	Chromogranin-A (CgA) (Pituitary secretory protein I) (SP-I) [Cleaved into: Vasostatin-1 (Vasostatin I); Vasostatin-2 (Vasostatin II); EA-92; ES-43; Pancreastatin; SS-18; WA-8; WE-14; LF-19; Catestatin (SL21); AL-11; GV-19; GR-44; ER-37; GE-25; Serpinin-RRG; Serpinin; p-Glu serpinin precursor]	CHGA	Homo sapiens (Human)	1989-07-01	2019-01-16	adenylate cyclase-activating adrenergic receptor signaling pathway involved in cardiac muscle relaxation [GO:0086030]; antimicrobial humoral response [GO:0019730]; defense response to fungus [GO:0050832]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]; killing of cells of other organism [GO:0031640]; mast cell activation [GO:0045576]; mast cell chemotaxis [GO:0002551]; mast cell cytokine production [GO:0032762]; mast cell degranulation [GO:0043303]; negative regulation of blood vessel diameter [GO:0097756]; negative regulation of catecholamine secretion [GO:0033604]; negative regulation of hormone secretion [GO:0046888]; negative regulation of insulin secretion [GO:0046676]; negative regulation of neuron death [GO:1901215]; organelle organization [GO:0006996]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of dense core granule biogenesis [GO:2000707]; positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway [GO:1900738]; positive regulation of relaxation of cardiac muscle [GO:1901899]; regulation of blood pressure [GO:0008217]; regulation of the force of heart contraction [GO:0002026]	1113	1LV4
